"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","335","@smoke GET -- get all users","chromium","2026-06-29","passed","2026-06-29","","api/users.api.schema.spec.ts","",""
"","2255","forgot pwd link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3519","verify search results count - macbook - MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3056","@smoke user is able to login to app test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","3047","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2918","invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","3320","@smoke intercept and log requests","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","2860","invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2970","@smoke home page headers exist test @junesprint","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3423","verify search results count - imac - iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","835","has title","chromium","2026-06-29","passed","2026-06-29","","example.spec.ts","",""
"","3262","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3026","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","374","@regression PUT API -- Update a user","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","262","@regression mock search page with fake HTML","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","2234","login page title test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","979","@regression GET -- get location data","chromium","2026-06-29","passed","2026-06-29","","api/amadeus.oauth2.spec.ts","",""
"","349","@regression GET API -- get all users","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3046","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","4509","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3730","@regression PUT - update a user","chromium","2026-06-29","passed","2026-06-29","","api/users.api.indi.spec.ts","",""
"","2742","invalid login test with excel data - abccc@gmail.com","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","315","create a user test","chromium","2026-06-29","passed","2026-06-29","","api/users.api.spec.ts","",""
"","3389","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","926","get started link","chromium","2026-06-29","passed","2026-06-29","","example.spec.ts","",""
"","3055","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","4827","@regression verify product images count","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","335","@regression DELETE API -- Delete a user","chromium","2026-06-29","passed","2026-06-29","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","310","get user test","chromium","2026-06-29","passed","2026-06-29","","api/users.api.spec.ts","",""
